seed,Method,StepSize,N,nBatch,Time,RMSEphi1,RMSEphi2,RMSEphi3,RMSEphi4,RMSEphi1.avg,RMSEphi2.avg,RMSEphi3.avg,RMSEphi4.avg
12,Pspline-SGD,0.3,11000,5,0.175579786300659,0.22341496359868693,1.195417045936979,1.2004199281816212,0.20883236121457957,0.1250029181410711,0.1927002336833036,0.1890952817108677,0.15174159032059747
12,Pspline-SGD,0.3,11100,5,0.171595573425293,0.19553041708340593,1.1713327230560202,1.1804907677819874,0.2674129725680964,0.12473635522136682,0.19331828482076602,0.19106795802182325,0.15183065598064152
12,Pspline-SGD,0.3,11200,5,0.172222137451172,0.22719132689769606,1.1642326541083954,1.164248039201961,0.19018246223691218,0.12458764699520197,0.19425720285429035,0.19334688544135772,0.15194561379031288
12,Pspline-SGD,0.3,11300,5,0.172974348068237,0.16844024499147928,1.1657840409649405,1.1769340816489027,0.23758903843398574,0.12417139176396101,0.19527280146496684,0.19573962359738642,0.15160775962292314
12,Pspline-SGD,0.3,11400,5,0.175164699554443,0.23523193498784092,1.154843097036418,1.1561362473405057,0.20461249657605945,0.1241340907160446,0.1963529689526606,0.19808902786373953,0.1515661720850324
12,Pspline-SGD,0.3,11500,5,0.172981739044189,0.2096730895241195,1.1522660864674343,1.1592320779501186,0.21993097846365658,0.12424398500859365,0.19749718616883596,0.20032462691089722,0.15177344079027902
12,Pspline-SGD,0.3,11600,5,0.175951480865479,0.1749786169173079,1.164563996205448,1.1689181323619646,0.22194451163495937,0.12419678007575961,0.198619358036442,0.20251306733040736,0.15204794463327476
12,Pspline-SGD,0.3,11700,5,0.171394109725952,0.16698829193500916,1.1620048875842408,1.1667067097924462,0.1508986518682759,0.12370688164745187,0.1992305335960046,0.20402733707623802,0.1518597544790338
12,Pspline-SGD,0.3,11800,5,0.174483060836792,0.19881749251676614,1.1705483962531045,1.1759704753285674,0.15500960368373548,0.1231060407674304,0.19981071610844037,0.20568137774672876,0.15112098592846707
12,Pspline-SGD,0.3,11900,5,0.17056131362915,0.2007796641332803,1.153346773181917,1.1616929730257022,0.1952207425640056,0.12231676559799205,0.20024494559401326,0.20722707927032338,0.1504064871505969
12,Pspline-SGD,0.3,12000,5,0.175494909286499,0.2815320478330138,1.1417733496214804,1.1507437226759103,0.27948603232000524,0.12143478013974615,0.20077769704188853,0.20914613869310797,0.14993353120039454
